128912	098877128912	dephnie ong	1234512345	27	2900.0	
140267	030504140267	LEONG GAO CHONG	12345678	21	2000.0	
388845	019929388845	LEE BEK LAN	111222333	24	2400.0	
221211	020301221211	HO WING HOE	0163632823lgc	23	2700.0	
444444	019293444444	HO WING HOE	1234512345	27	2300.0	
41333	010203041333	LEE BEK LAN	ABC123456	23	2500.0	
330099	099888330099	AW TZE HONG	AW12345678	21	2000.0	
833321	019928833321	LAI YONG LE	laiyongle123	25	2500.0	
127772	039488127772	LAI XIAN YU	lai12345678	21	2500.0	
778172	030504778172	HO WING HOE	12345678	21	2000.0	
181122	002999181122	TAN XINR R	11111ABV	18	1.0E11	
40506	010203040506	LAI LAI LAI	12345678lll	21	-0.0	
